% energy,cross section
2073000,3.8176
2074000,4.4511
2075000,5.1565
2076000,5.7664
2077000,6.0435
2078000,5.8719
2079000,5.3728
2080000,4.7654
2081000,4.1989
2082000,3.7282
2083000,3.3559
2084000,3.0658
2085000,2.8399
2086000,2.6626
2087000,2.5218
2088000,2.4085
2089000,2.3166
2090000,2.2407
2091000,2.1776
2092000,2.1245
2093000,2.0794
2094000,2.0407
2095000,2.0073
2096000,1.9783
2097000,1.9528
2098000,1.9303
2099000,1.9104
2100000,1.8926
2102000,1.8624
2104000,1.8376
2106000,1.817
2108000,1.7996
2110000,1.7848
2112000,1.7721
2114000,1.7609
2116000,1.7511
2118000,1.7424
2120000,1.7347
2140000,1.6863
2160000,1.6611
2180000,1.6445
2200000,1.632
2220000,1.6219
2240000,1.6136
2260000,1.6065
2280000,1.6004
2300000,1.5953
2320000,1.5911
2340000,1.5878
2360000,1.5853
2380000,1.5837
2400000,1.5829
2420000,1.5831
2440000,1.5843
2460000,1.5866
2480000,1.5899
2500000,1.5945
2520000,1.6004
2540000,1.6077
2553000,1.6134
2560000,1.6165
2580000,1.627
2600000,1.6395
2620000,1.654
2640000,1.6709
2660000,1.6905
2680000,1.7132
2700000,1.7396
2720000,1.7702
2740000,1.8059
2760000,1.8478
2780000,1.8979
2785000,1.912
2790000,1.927
2795000,1.9431
2800000,1.9611
2802000,1.9693
2804000,1.9786
2806000,1.9903
2808000,2.007
2810000,2.0389
2811000,2.0718
2812000,2.14
2813000,2.328
2814000,3.1605
2815000,5.0709
2816000,2.7762
2817000,2.2895
2818000,2.1589
2819000,2.109
2820000,2.0863
2822000,2.0697
2824000,2.0673
2826000,2.0702
2828000,2.0756
2830000,2.0825
2835000,2.1029
2840000,2.1265
2845000,2.1522
2850000,2.1801
2855000,2.2102
2860000,2.2425
2865000,2.2774
2870000,2.3149
2875000,2.3555
2880000,2.3994
2885000,2.447
2890000,2.4987
2895000,2.5548
2900000,2.6157
2905000,2.6818
2910000,2.7532
2915000,2.8296
2920000,2.9103
2924000,2.9768
2928000,3.0432
2932000,3.1067
2936000,3.1633
2940000,3.207
2944000,3.2297
2948000,3.2212
2952000,3.1707
2956000,3.0686
2960000,2.9106
2964000,2.7013
2968000,2.4557
2972000,2.196
2976000,1.9458
2980000,1.7235
2984000,1.5395
2988000,1.3962
2992000,1.2908
2996000,1.2176
3000000,1.1704
3010000,1.1295
3020000,1.1503
3030000,1.1976
3040000,1.2547
3050000,1.314
3053000,1.3316
3060000,1.3725
3080000,1.4825
3100000,1.5826
3120000,1.6744
3140000,1.7599
3160000,1.8404
3180000,1.9171
3200000,1.9904
3220000,2.0609
3240000,2.1285
3260000,2.1932
3280000,2.2549
3300000,2.3132
3320000,2.3678
3340000,2.4183
3360000,2.4644
3380000,2.5058
3400000,2.542
3420000,2.5729
3440000,2.5984
3460000,2.6182
3480000,2.6324
3500000,2.641
3520000,2.6442
3540000,2.6422
3553000,2.6377
3560000,2.6353
3580000,2.6238
3600000,2.6081
3620000,2.5885
3640000,2.5654
3660000,2.5393
3680000,2.5105
3700000,2.4795
3720000,2.4465
3740000,2.412
3760000,2.3762
3780000,2.3394
3800000,2.3019
3820000,2.2639
3840000,2.2257
3860000,2.1874
3880000,2.1491
3900000,2.1112
3920000,2.0736
3940000,2.0367
3960000,2.0007
3980000,1.9657
4000000,1.9321
4010000,1.916
4020000,1.9004
4030000,1.8855
4040000,1.8714
4050000,1.8581
4053000,1.8545
4060000,1.8459
4070000,1.835
4080000,1.8255
4090000,1.818
4100000,1.8126
4110000,1.8098
4120000,1.8103
4130000,1.8145
4140000,1.8233
4150000,1.8372
4160000,1.8572
4170000,1.8839
4180000,1.9175
4190000,1.9579
4200000,2.0043
4210000,2.0549
4220000,2.1066
4230000,2.1559
4240000,2.1988
4250000,2.2319
4260000,2.2528
4270000,2.2609
4280000,2.2568
4290000,2.2422
4300000,2.2195
4310000,2.1909
4320000,2.1585
4330000,2.124
4340000,2.0886
4350000,2.0534
4360000,2.0189
4370000,1.9854
4380000,1.9533
4390000,1.9226
4400000,1.8933
4420000,1.839
4440000,1.7899
4460000,1.7454
4480000,1.7049
4500000,1.6677
4520000,1.6333
4540000,1.6015
4553000,1.5822
4560000,1.5717
4580000,1.5438
4600000,1.5175
4620000,1.4925
4640000,1.4688
4660000,1.4462
4680000,1.4245
4700000,1.4036
4720000,1.3834
4740000,1.3639
4760000,1.3448
4780000,1.3262
4799999,1.3078
4800001,1.30209
4812000,1.29302
4812221,1.29277
4830200,1.27244
4835490,1.26792
4863360,1.2503
4891220,1.19742
