%energy,cross section
20.67131,106.91944
20.67408,114.72791
20.67685,123.15522
20.67962,132.24582
20.68239,142.04534
20.68516,152.60231
20.68793,163.96601
20.69121,178.55209
20.69449,194.43423
20.69778,211.70561
20.70106,230.46044
20.70434,250.79713
20.70762,272.81284
20.71091,296.60782
20.71419,322.28016
20.71706,346.36282
20.71994,372.02257
20.72281,399.3237
20.72568,428.32548
20.72855,459.08802
20.73286,508.64772
20.73717,562.45011
20.74148,620.63795
20.74579,683.31127
20.7501,750.53956
20.75441,822.34398
20.75872,898.70058
20.76241,967.71121
20.76692,1056.39189
20.77369,1197.85407
20.78026,1343.75622
20.78847,1536.05877
20.80324,1898.70527
20.81596,2210.08412
20.82581,2436.66679
20.83238,2575.09731
20.83894,2699.95844
20.84551,2808.4792
20.85207,2898.18701
20.85864,2967.00497
20.86422,3007.86795
20.87079,3034.2363
20.87538,3038.4408
20.88113,3027.15544
20.88687,2997.7819
20.89344,2942.89662
20.9,2866.69416
20.90657,2771.12437
20.91313,2658.54044
20.9197,2531.60286
20.92955,2320.57858
20.94104,2055.01851
20.95926,1626.34529
20.96862,1416.67396
20.97518,1277.61349
20.98175,1146.67592
20.98667,1054.3537
20.99201,960.3569
20.99611,892.43143
21.00021,828.35974
21.00432,768.13985
21.00842,711.73419
21.01252,659.07489
21.01663,610.06779
21.02073,564.59565
21.02484,522.52207
21.02894,483.69676
21.03304,447.95889
21.03715,415.13921
21.04125,385.06354
21.04535,357.55609
21.04946,332.44167
21.05356,309.54729
21.05756,289.2013
21.06146,271.10812
21.06536,254.58834
21.06926,239.51378
21.07316,225.76284
21.07705,213.22108
21.08095,201.78139
21.08485,191.3438
21.08875,181.81543
21.09265,173.11066
21.09655,165.15088
21.10239,154.45208
21.10824,145.05099
21.11409,136.76017
21.12055,128.6941
21.12568,122.99371
21.13081,117.82767
21.13851,110.93443
21.1462,104.90132
21.15389,99.57622
21.16159,94.83767
21.16928,90.58919
21.17954,85.55602
21.1898,81.11713
21.20006,77.16598
21.21032,73.6211
21.22058,70.4195
21.23597,66.15456
21.25136,62.4232
21.26674,59.12958
21.28213,56.20055
21.2965,53.74495
21.31804,50.48343
21.33958,47.64221
21.36113,45.14583
21.38267,42.93594
21.40729,40.70264
21.42781,39.0425
21.45859,36.83794
21.48937,34.91846
21.52014,33.23319
21.55092,31.7425
21.5817,30.41516
21.62273,28.85696
21.66377,27.49876
21.70481,26.30496
21.74995,25.1488
21.79919,24.04273
21.84843,23.07053
21.89768,22.20933
21.96096,21.2369
22.03828,20.21523
22.1156,19.34018
22.19292,18.58243
22.27079,17.91545
22.3492,17.3238
22.46682,16.55773
22.58227,15.9186
22.69337,15.38678
22.84151,14.77796
23.00181,14.22004
23.16774,13.72809
23.39274,13.16665
23.61774,12.69696
23.89899,12.20489
24.24009,11.71095
24.59087,11.28685
25.01274,10.85573
25.48571,10.4435
26.1171,9.96987
27.0522,9.36041
29.08514,8.13244
29.9116,7.5899
30.54608,7.12764
30.97703,6.78126
31.41406,6.39515
31.74646,6.07327
32.08198,5.71737
32.42065,5.3212
32.64855,5.03027
32.87805,4.7146
33.10916,4.37079
33.3419,3.99537
33.51768,3.69066
33.69345,3.36567
33.87171,3.01436
34.04997,2.6405
34.21774,2.26824
34.36455,1.92754
34.53583,1.51628
34.7558,0.98126
34.84482,0.7704
34.90591,0.63091
34.95129,0.5314
34.9862,0.45798
35.01413,0.40159
35.04381,0.34436
35.06562,0.30429
35.08744,0.26612
35.10839,0.23148
35.12584,0.20424
35.13981,0.18361
35.15377,0.16409
35.16512,0.14909
35.17821,0.1328
35.18694,0.12258
35.19566,0.11289
35.20614,0.102
35.21312,0.09521
35.2201,0.08879
35.22883,0.08134
35.23668,0.07518
35.24454,0.06956
35.25108,0.0653
35.25763,0.06145
35.26374,0.05822
35.26897,0.05574
35.27421,0.05355
35.27858,0.05193
35.28381,0.05026
35.28861,0.04899
35.29298,0.04805
35.29865,0.04716
35.30367,0.04667
35.30825,0.04649
35.31349,0.04659
35.31872,0.04703
35.32309,0.04766
35.32756,0.04855
35.33312,0.05004
35.33792,0.05165
35.34316,0.05377
35.3484,0.05628
35.35298,0.0588
35.35887,0.06249
35.36323,0.06555
35.3676,0.06892
35.37196,0.07257
35.3772,0.07737
35.38243,0.08261
35.38832,0.08905
35.39421,0.0961
35.40032,0.10405
35.40687,0.11331
35.41342,0.12338
35.42083,0.13579
35.42869,0.15012
35.43654,0.16572
35.44265,0.17876
35.44876,0.19263
35.45487,0.20733
35.46098,0.2229
35.46796,0.24178
35.47494,0.26187
35.48193,0.28319
35.48891,0.30579
35.49764,0.33591
35.50636,0.36818
35.51509,0.40269
35.52382,0.43953
35.53429,0.48695
35.54476,0.53804
35.55524,0.593
35.56571,0.65201
35.57487,0.70713
35.58404,0.76567
35.5932,0.82777
35.60542,0.91639
35.61764,1.01205
35.62986,1.11517
35.63902,1.19768
35.65124,1.31499
35.66346,1.44112
35.67393,1.55668
35.6844,1.67949
35.69837,1.85524
35.71233,2.04563
35.72368,2.21186
35.73677,2.41742
35.74986,2.63874
35.76295,2.87694
35.77604,3.13329
35.78913,3.40913
35.80223,3.70594
35.81532,4.02532
35.82841,4.36903
35.8415,4.73896
35.85459,5.13722
35.86768,5.56609
35.88077,6.02809
35.89386,6.52596
35.90696,7.06275
35.92005,7.64179
35.93314,8.26679
35.94623,8.94182
35.95932,9.67142
35.97241,10.46061
35.9855,11.31499
35.99859,12.24081
36.01169,13.24507
36.02478,14.33561
36.03787,15.52126
36.05096,16.81196
36.06405,18.21901
36.07714,19.75522
36.09023,21.43518
36.10332,23.27559
36.11642,25.29571
36.12951,27.51768
36.1426,29.96729
36.15569,32.67461
36.16442,34.6399
36.17314,36.74732
36.18187,39.01046
36.1906,41.44451
36.19933,44.0668
36.20805,46.89696
36.21591,49.64048
36.22376,52.58935
36.23162,55.76504
36.23947,59.192
36.24733,62.89863
36.25518,66.91756
36.26304,71.28697
36.27089,76.05137
36.2784,81.02137
36.2859,86.45352
36.29341,92.41108
36.30091,98.96834
36.30842,106.21338
36.31593,114.2499
36.32156,120.87008
36.32718,128.06409
36.33268,135.71018
36.33792,143.6272
36.34316,152.23473
36.34839,161.61072
36.35363,171.84289
36.35887,183.02861
36.3641,195.27779
36.36934,208.71082
36.37457,223.46276
36.37981,239.68225
36.38505,257.53413
36.38959,274.46527
36.39378,291.41341
36.39796,309.73868
36.40215,329.5588
36.40634,350.99632
36.41053,374.18441
36.41472,399.2629
36.41891,426.38101
36.4231,455.69445
36.42729,487.36873
36.43148,521.57484
36.43567,558.49647
36.43986,598.317
36.44405,641.23162
36.44823,687.43838
36.45242,737.14307
36.45661,790.55236
36.4608,847.8781
36.46499,909.32925
36.46918,975.12253
36.47337,1045.46249
36.47861,1140.09918
36.48349,1235.47383
36.48838,1337.95876
36.49327,1447.83262
36.49816,1565.34836
36.50304,1690.72577
36.50793,1824.14513
36.51282,1965.74306
36.5191,2159.94948
36.52486,2350.01182
36.53062,2551.48656
36.5383,2837.46019
36.54598,3142.32568
36.55415,3485.67168
36.56504,3969.7762
36.58005,4672.4607
36.6024,5738.70113
36.61357,6250.44755
36.62474,6727.21014
36.63312,7052.32729
36.6415,7342.5281
36.64988,7591.95878
36.65825,7795.45882
36.66621,7942.34733
36.67445,8043.70476
36.68339,8093.07202
36.6859,8095.4255
36.694,8068.56296
36.70182,7993.40057
36.7102,7861.07
36.71858,7678.21765
36.72696,7448.99192
36.73533,7178.4309
36.74371,6872.25693
36.75209,6536.70279
36.76326,6054.84591
36.78561,5030.65297
36.80376,4202.90455
36.81437,3742.57125
36.82401,3347.49474
36.83364,2978.27029
36.84202,2680.30209
36.84761,2494.17252
36.85319,2318.24604
36.85878,2152.5611
36.86436,1997.0584
36.86995,1851.5918
36.87553,1715.93774
36.88182,1574.69312
36.88705,1465.84223
36.89229,1364.70339
36.89753,1270.92457
36.90276,1184.14797
36.908,1103.99385
36.91324,1030.08098
36.91847,962.02349
36.92371,899.44176
36.92895,841.95928
36.93418,789.21253
36.93942,740.84414
36.94466,696.51937
36.94989,655.91354
36.95513,618.72156
36.96036,584.6542
36.9656,553.44226
36.96909,534.09551
36.97607,498.59526
36.98306,466.92591
36.99004,438.62339
36.99571,417.81871
37.00138,398.7644
37.00989,373.07719
37.0184,350.39915
37.02691,330.28069
37.03542,312.34315
37.04393,296.26717
37.05244,281.78649
37.05811,272.907
37.06946,256.75311
37.0808,242.43057
37.09324,228.47746
37.10568,216.04903
37.11811,204.89964
37.13055,194.83531
37.14713,182.84007
37.16372,172.21162
37.1803,162.72721
37.19688,154.21167
37.21346,146.52513
37.23092,139.20491
37.24837,132.56908
37.26583,126.5282
37.29201,118.42306
37.31819,111.28864
37.34437,104.96571
37.37056,99.32779
37.39674,94.27307
37.42292,89.71874
37.4491,85.59664
37.47529,81.85029
37.50845,77.57109
37.53987,73.93146
37.57129,70.63853
37.61842,66.25122
37.66555,62.41896
37.71268,59.04621
37.76155,55.95377
37.81391,53.02396
37.86628,50.42739
37.91864,48.112
37.95355,46.70356
38.02337,44.16469
38.09319,41.94094
38.16301,39.97859
38.23283,38.23527
38.30265,36.67715
38.38644,35.01388
