% energy,cross section
0.04822,408.04613
0.04967,400.95215
0.05116,393.94792
0.0527,387.03304
0.05428,380.20726
0.05591,373.47046
0.05759,366.82247
0.05932,360.26292
0.0611,353.79107
0.06294,347.40611
0.06483,341.10758
0.06664,335.33683
0.06849,329.64
0.0704,324.0193
0.07237,318.47317
0.07438,313.00367
0.07645,307.60928
0.07859,302.29206
0.08078,297.05065
0.08303,291.88723
0.08534,286.80065
0.08772,281.7932
0.09016,276.864
0.09268,272.0155
0.09526,267.24712
0.09791,262.56154
0.10043,258.30996
0.10301,254.13053
0.10566,250.02457
0.10837,245.99354
0.11116,242.0391
0.11402,238.16313
0.11695,234.36773
0.11995,230.65528
0.12303,227.02847
0.1262,223.49032
0.12917,220.32752
0.13221,217.24564
0.13532,214.24684
0.1385,211.33596
0.14176,208.51607
0.1451,205.79292
0.1482,203.40498
0.15136,201.10527
0.1546,198.89868
0.1579,196.79064
0.16128,194.78722
0.16472,192.89517
0.16789,191.29351
0.17111,189.79437
0.1744,188.40349
0.17775,187.1286
0.18117,185.97674
0.18426,185.06322
0.1874,184.25991
0.1906,183.57342
0.19385,183.01066
0.19716,182.57874
0.2001,182.3137
0.20308,182.15875
0.20556,182.11695
0.20895,182.18637
0.21207,182.37717
0.21523,182.69261
0.21844,183.13435
0.2217,183.70325
0.225,184.3979
0.22884,185.34181
0.23275,186.43621
0.23722,187.82703
0.24332,189.88322
0.25222,192.95562
0.25652,194.33875
0.26035,195.44336
0.26367,196.27058
0.26647,196.84943
0.2693,197.30586
0.27216,197.6205
0.27447,197.75741
0.27617,197.78665
0.27846,197.72587
0.28083,197.53792
0.28321,197.21572
0.28562,196.75331
0.28804,196.14603
0.29049,195.39068
0.29296,194.48556
0.29545,193.43055
0.29796,192.22712
0.30049,190.87831
0.30304,189.38867
0.30561,187.76422
0.30821,186.01226
0.31148,183.65653
0.31479,181.13245
0.31814,178.46242
0.3222,175.09351
0.3277,170.38398
0.34113,158.66501
0.34695,153.69043
0.35138,149.99931
0.35587,146.36452
0.35965,143.39083
0.36347,140.47365
0.36734,137.62137
0.37124,134.8362
0.37519,132.12386
0.37918,129.48436
0.3832,126.92134
0.38728,124.43321
0.39139,122.02202
0.39555,119.68511
0.39976,117.42339
0.40401,115.23355
0.4083,113.11574
0.41264,111.06629
0.41703,109.08492
0.42146,107.16779
0.42594,105.3143
0.43047,103.52052
0.43504,101.78561
0.43967,100.1058
0.44434,98.48029
0.44906,96.9056
0.45383,95.38101
0.45866,93.90323
0.46353,92.4716
0.46846,91.08303
0.47344,89.73689
0.47847,88.43035
0.48356,87.16289
0.4887,85.93187
0.49494,84.50172
0.50126,83.12033
0.50766,81.78545
0.51414,80.49502
0.5207,79.24708
0.52735,78.03983
0.53408,76.87161
0.5409,75.74086
0.54781,74.64616
0.5548,73.58619
0.56189,72.55974
0.56906,71.56571
0.57633,70.60309
0.58492,69.51873
0.59364,68.47442
0.60249,67.46973
0.61148,66.5029
0.6206,65.5734
0.62985,64.67998
0.63924,63.82297
0.64878,63.00179
0.65845,62.21658
0.66827,61.46647
0.67823,60.75196
0.68835,60.07315
0.69861,59.43131
0.70903,58.82695
0.7196,58.26124
0.72879,57.80763
0.73809,57.3839
0.74752,56.99131
0.75706,56.63152
0.76673,56.30628
0.77652,56.01731
0.78643,55.76665
0.79479,55.58888
0.80324,55.44147
0.81178,55.32635
0.8204,55.24586
0.82913,55.20244
0.8344,55.1954
0.84196,55.21154
0.84911,55.25639
0.85632,55.33208
0.8636,55.44091
0.87093,55.58545
0.87833,55.7686
0.88579,55.99362
0.89143,56.19211
0.8971,56.41777
0.90281,56.67278
0.90856,56.95885
0.91434,57.27866
0.92016,57.63423
0.92601,58.02881
0.9319,58.46485
0.93784,58.94631
0.9438,59.47617
0.94981,60.05922
0.95384,60.4793
0.95788,60.92625
0.96194,61.4016
0.96602,61.90697
0.97011,62.4441
0.97422,63.01486
0.97835,63.62122
0.9825,64.2653
0.98666,64.94935
0.99084,65.67574
0.99504,66.44697
0.99926,67.26568
1.00349,68.13459
1.00739,68.97712
1.01093,69.78185
1.01448,70.62379
1.01803,71.50423
1.0216,72.4311
1.0252,73.40652
1.02879,74.42534
1.03239,75.48863
1.03601,76.60531
1.03966,77.77708
1.04331,78.99672
1.04696,80.26433
1.05063,81.58899
1.05618,83.67919
1.06173,85.87094
1.06733,88.17511
1.07483,91.37483
1.08999,97.95783
1.09568,100.32038
1.09944,101.80073
1.10319,103.18919
1.10695,104.46099
1.11079,105.61106
1.11372,106.37242
1.11665,107.01688
1.11959,107.53159
1.12252,107.90411
1.12527,108.1137
1.12765,108.17917
1.13003,108.13168
1.13242,107.96472
1.13488,107.66651
1.13743,107.21461
1.14,106.61376
1.14257,105.8644
1.14514,104.96676
1.14771,103.92254
1.15027,102.74002
1.1528,101.43112
1.15534,99.99227
1.15788,98.43035
1.15957,97.32457
1.16295,94.97003
1.16603,92.67896
1.1691,90.26477
1.1732,86.88847
1.17731,83.37637
1.18768,74.20902
1.19392,68.7175
1.1981,65.12101
1.20232,61.60853
1.20549,59.06086
1.20865,56.59659
1.21181,54.22197
1.21487,52.01559
1.21788,49.93565
1.22089,47.94527
1.22389,46.04514
1.2269,44.23521
1.22996,42.48425
1.23313,40.76712
1.2363,39.1463
1.23947,37.61969
1.24264,36.18499
1.24581,34.83991
1.24831,33.84177
1.25081,32.89689
1.25331,32.00434
1.25581,31.1633
1.25831,30.37301
1.26086,29.61644
1.26345,28.90404
1.26603,28.24393
1.26861,27.63546
1.2712,27.0779
1.27378,26.57037
1.27637,26.11182
1.27895,25.70086
1.28154,25.3358
1.28412,25.01453
1.2867,24.7345
1.28955,24.47051
1.29239,24.24817
1.29566,24.03697
