%energy,cross section
0.05314,63.00781
0.05462,61.97785
0.05615,60.96756
0.05771,59.97703
0.05932,59.0057
0.06097,58.05359
0.06267,57.12012
0.06442,56.20536
0.06622,55.30888
0.06806,54.43089
0.06996,53.57108
0.07191,52.72968
0.07391,51.90641
0.07597,51.10152
0.07809,50.31477
0.08027,49.54648
0.0825,48.79649
0.0848,48.06517
0.08698,47.40667
0.08922,46.76431
0.09151,46.13827
0.09386,45.52882
0.09627,44.93624
0.09875,44.36087
0.10128,43.80308
0.10389,43.26333
0.10656,42.7421
0.1093,42.23997
0.1121,41.75759
0.11499,41.29566
0.11769,40.89085
0.12046,40.50469
0.1233,40.13782
0.1262,39.79123
0.12917,39.46576
0.13221,39.1626
0.13532,38.88282
0.13821,38.64993
0.14116,38.43859
0.14418,38.24998
0.14726,38.08543
0.15041,37.94637
0.15362,37.83438
0.15657,37.75817
0.15958,37.70664
0.16265,37.68131
0.16403,37.67887
0.16703,37.6928
0.17024,37.73694
0.17314,37.80305
0.1761,37.89588
0.1791,38.01689
0.18216,38.1676
0.18526,38.34956
0.18842,38.56435
0.19123,38.78044
0.19408,39.02397
0.19698,39.29577
0.19992,39.59685
0.2029,39.92772
0.20592,40.28908
0.20944,40.73948
0.21301,41.22963
0.21664,41.75859
0.2208,42.39751
0.22552,43.15643
0.23328,44.45105
0.23979,45.53261
0.24388,46.18503
0.24699,46.65525
0.25014,47.09966
0.2528,47.44341
0.25549,47.75691
0.25766,47.98162
0.25985,48.17961
0.26206,48.34755
0.26428,48.48209
0.26596,48.55906
0.26766,48.61406
0.26936,48.64572
0.2705,48.65326
0.27228,48.6426
0.27401,48.60537
0.27575,48.54061
0.27751,48.44752
0.27927,48.32522
0.28105,48.17326
0.28284,47.99097
0.28464,47.77831
0.28645,47.53486
0.28827,47.26099
0.29011,46.95656
0.29195,46.6224
0.29381,46.25863
0.29568,45.86652
0.29756,45.44646
0.29946,45.00013
0.30136,44.52813
0.30392,43.86202
0.3065,43.15694
0.30911,42.41681
0.31239,41.44893
0.31571,40.44084
0.32042,38.97954
0.33005,35.964
0.33426,34.66661
0.33782,33.59509
0.34068,32.74856
0.34358,31.91412
0.3465,31.09394
0.34944,30.28988
0.35166,29.69858
0.3539,29.11736
0.35615,28.54751
0.35842,27.98862
0.3607,27.44177
0.363,26.90644
0.36531,26.38356
0.36763,25.87251
0.36997,25.37407
0.37233,24.88757
0.37469,24.41366
0.37708,23.9516
0.37948,23.50196
0.38189,23.06395
0.38432,22.63806
0.38677,22.22349
0.38923,21.82063
0.39171,21.4287
0.3942,21.04801
0.39671,20.67781
0.39923,20.31835
0.40177,19.96887
0.40433,19.62962
0.4069,19.29984
0.40949,18.97975
0.4121,18.66862
0.41472,18.36663
0.41736,18.0731
0.42002,17.78818
0.42269,17.51122
0.42538,17.24235
0.42809,16.98093
0.43081,16.72709
0.43355,16.48022
0.43631,16.24044
0.43909,16.00718
0.44188,15.78054
0.44469,15.56
0.44752,15.34566
0.45037,15.13703
0.45324,14.93421
0.45709,14.67217
0.46097,14.41943
0.46488,14.1756
0.46883,13.94028
0.47282,13.71309
0.47683,13.49368
0.48088,13.28171
0.48497,13.07686
0.48909,12.87882
0.49324,12.68731
0.49743,12.50205
0.50166,12.32277
0.50592,12.14923
0.51021,11.98119
0.51455,11.81844
0.51892,11.66076
0.52443,11.47045
0.53001,11.28746
0.53564,11.11131
0.54133,10.94183
0.54709,10.77857
0.5529,10.6214
0.55878,10.46994
0.56472,10.32408
0.57072,10.18347
0.57679,10.04804
0.58292,9.91749
0.58911,9.79177
0.59537,9.67063
0.6017,9.55403
0.6081,9.44174
0.61456,9.3337
0.62241,9.20943
0.63035,9.09091
0.6384,8.97808
0.64655,8.87086
0.65481,8.76919
0.66317,8.67297
0.67164,8.58214
0.68021,8.49673
0.6889,8.41681
0.69769,8.34249
0.70511,8.28492
0.7126,8.23143
0.72018,8.18204
0.72783,8.13692
0.73557,8.09615
0.74338,8.05995
0.75129,8.02853
0.75927,8.00217
0.76734,7.98114
0.7755,7.96573
0.78374,7.95629
0.7904,7.95331
0.79207,7.95323
0.79932,7.95611
0.80611,7.96368
0.81296,7.97631
0.81987,7.99434
0.82683,8.01818
0.83385,8.04827
0.83916,8.07526
0.8445,8.10625
0.84988,8.14157
0.85528,8.18145
0.86073,8.22624
0.8662,8.27625
0.87172,8.3319
0.87726,8.39355
0.88285,8.46174
0.88846,8.53689
0.89412,8.61967
0.89791,8.67935
0.90171,8.74287
0.90553,8.81045
0.90937,8.88233
0.91323,8.95875
0.9171,9.03999
0.92098,9.12633
0.92489,9.21809
0.92881,9.31561
0.93274,9.41924
0.93669,9.52939
0.94066,9.64647
0.94465,9.77095
0.94865,9.90332
0.95167,10.00808
0.95469,10.11778
0.95772,10.23284
0.96077,10.35337
0.96382,10.47967
0.96688,10.61203
0.96995,10.75097
0.97303,10.89667
0.97612,11.04949
0.97922,11.20981
0.98234,11.3783
0.98546,11.55518
0.98859,11.74092
0.99173,11.93602
0.99488,12.1413
0.99804,12.35708
1.00121,12.58394
1.00439,12.82251
1.00705,13.03083
1.0097,13.24764
1.01236,13.4733
1.01502,13.7082
1.01767,13.95272
1.02036,14.2097
1.02305,14.47858
1.02574,14.75864
1.02844,15.05033
1.03113,15.3541
1.03384,15.67195
1.03657,16.00611
1.0393,16.35417
1.04204,16.71661
1.04477,17.09391
1.0475,17.48656
1.05027,17.90087
1.05304,18.33185
1.05581,18.77991
1.05859,19.2454
1.06136,19.7286
1.06415,20.23452
1.06696,20.7613
1.06977,21.30662
1.07258,21.87037
1.07539,22.45222
1.07727,22.84996
1.08107,23.6799
1.08487,24.53907
1.08867,25.42444
1.09247,26.33198
1.09824,27.74321
1.10788,30.11678
1.11331,31.42057
1.11693,32.25596
1.12055,33.0522
1.12371,33.70726
1.12642,34.23172
1.12913,34.71834
1.13183,35.16268
1.13488,35.60679
1.13716,35.89787
1.13944,36.15058
1.14096,36.29678
1.14377,36.51736
1.14657,36.67297
1.14937,36.76163
1.15217,36.78212
1.15451,36.74665
1.15685,36.66346
1.15918,36.53309
1.16152,36.35642
1.16386,36.13471
1.16669,35.80799
1.16978,35.38433
1.17286,34.8944
1.17594,34.34398
1.17902,33.7394
1.18211,33.08412
1.18524,32.38111
1.1894,31.39112
1.19357,30.35621
1.20196,28.19855
1.21041,26.01933
1.21663,24.46298
1.22062,23.4998
1.22461,22.57033
1.2286,21.67835
1.23271,20.8019
1.23694,19.94678
1.24116,19.14017
1.24433,18.56735
1.24751,18.02204
1.25076,17.49092
1.25401,16.988
1.25726,16.51261
1.26052,16.06388
1.26396,15.61642
1.26741,15.19607
1.27085,14.801
1.2743,14.42907
1.27947,13.90923
1.28464,13.42701
1.28808,13.12174
1.29497,12.5378
1.30824,11.45951
1.31978,10.53968
1.3265,10.0206
1.33305,9.5375
1.33804,9.18898
1.34321,8.84981
1.34838,8.53385
1.35355,8.24134
1.35872,7.97158
1.36389,7.7232
1.36905,7.49447
1.37422,7.28354
1.37767,7.15191
1.38456,6.90795
1.39145,6.68671
1.39834,6.48509
1.40523,6.3005
1.41213,6.1308
1.41902,5.97424
1.42935,5.76082
1.44038,5.55755
1.44796,5.43042
1.45817,5.2733
1.46839,5.13057
1.47875,4.99872
1.4891,4.87832
1.50486,4.71434
1.52077,4.56911
1.53682,4.4403
1.55302,4.32591
1.56946,4.22385
1.58604,4.13353
1.60842,4.02986
1.63111,3.94416
1.65412,3.8759
1.67746,3.82542
1.70113,3.79405
1.7193,3.78457
1.72557,3.78454
1.74382,3.79498
1.76225,3.82362
1.78086,3.87487
1.79338,3.92484
1.80598,3.99056
1.81868,4.07572
1.83146,4.18523
1.84112,4.2874
1.85077,4.41017
1.86056,4.56044
1.87036,4.74302
1.87688,4.88679
1.8835,5.05437
1.89012,5.24803
1.89674,5.47298
1.90171,5.66617
1.90626,5.86487
1.91205,6.15294
1.91639,6.39946
1.92073,6.67679
1.92507,6.99014
1.92983,7.3822
1.93314,7.69026
1.93644,8.03201
1.93975,8.41233
1.94357,8.9066
1.94739,9.47025
1.94993,9.89059
1.95248,10.35145
1.95502,10.85754
1.95757,11.41407
1.96011,12.02677
1.96266,12.7019
1.9652,13.44618
1.96775,14.26676
1.97029,15.17109
1.97283,16.16684
1.97538,17.26159
1.97792,18.46266
1.98047,19.77672
1.98301,21.20946
1.98556,22.76507
1.9881,24.44581
1.99065,26.25144
1.99319,28.17872
1.99701,31.28179
2.00083,34.60228
2.00846,41.62255
2.01355,46.26974
2.01737,49.53286
2.02119,52.45622
2.02398,54.30732
2.02678,55.85671
2.02933,56.96829
2.03187,57.77072
2.03432,58.23287
2.03673,58.38305
2.03906,58.23583
2.04103,57.88927
2.04358,57.15006
2.04612,56.09833
2.04899,54.57196
2.05185,52.724
2.05503,50.35461
2.05885,47.17479
2.06394,42.58279
2.07157,35.53408
2.07539,32.15805
2.07921,28.97916
2.08175,26.99299
2.0843,25.12381
2.08684,23.37648
2.08938,21.75271
2.09193,20.25157
2.09447,18.86997
2.09702,17.60314
2.09956,16.44516
2.10211,15.38923
2.10465,14.42813
2.1072,13.55444
2.10974,12.7608
2.11229,12.04002
2.11483,11.38531
2.11738,10.79025
2.11992,10.2489
2.12247,9.75584
2.12501,9.30611
2.12883,8.7031
2.13265,8.17443
2.13519,7.85772
2.13901,7.42909
2.14282,7.04896
2.14664,6.71036
2.15046,6.40751
2.15425,6.13721
2.15804,5.89338
2.16373,5.57004
2.16942,5.28946
2.17511,5.04432
2.1808,4.82881
2.18657,4.63573
2.19234,4.4644
2.20003,4.26434
2.20772,4.09129
2.21547,3.93954
2.22327,3.80573
2.23497,3.63423
2.24672,3.49028
2.25859,3.36778
2.27045,3.26358
2.28243,3.17339
2.29847,3.07155
2.31463,2.98666
2.3309,2.91552
2.35554,2.82947
2.3804,2.76356
2.4055,2.71414
2.43095,2.67871
2.45266,2.65894
2.47702,2.64772
2.48814,2.64649
2.51834,2.65638
2.54218,2.67976
2.56602,2.7203
2.58192,2.75934
2.59781,2.81059
2.6137,2.87714
2.6296,2.96315
2.64152,3.04359
2.65344,3.14064
2.66536,3.25711
2.67728,3.3955
2.6892,3.55714
2.70112,3.7408
2.72973,4.22771
2.74093,4.40302
2.7515,4.5382
2.76072,4.62198
2.76867,4.664
2.77627,4.67663
2.78476,4.65995
2.79529,4.60007
2.80205,4.54387
2.81556,4.40678
2.83542,4.1968
2.84734,4.09126
2.85926,4.01156
2.87118,3.96122
2.88152,3.94208
2.8839,3.94088
2.89403,3.94908
2.90416,3.97861
2.91489,4.03303
2.92681,4.12194
2.93873,4.24227
2.9498,4.38449
2.96044,4.55198
2.97109,4.75358
2.97901,4.92888
2.98694,5.12854
2.99486,5.35569
3.00279,5.61398
3.01071,5.90765
3.01864,6.24158
3.02656,6.62122
3.03251,6.93954
3.03845,7.28957
3.04439,7.674
3.05034,8.09538
3.05628,8.55601
3.06223,9.05767
3.06995,9.77271
3.07748,10.53691
3.08501,11.36272
3.0963,12.69209
3.11215,14.61897
3.12008,15.52957
3.128,16.34532
3.13347,16.82821
3.13942,17.25959
3.14449,17.53891
3.1495,17.72648
3.15445,17.82043
3.15693,17.83249
3.16154,17.79285
3.16614,17.67379
3.17219,17.40295
3.17813,17.02063
3.18407,16.53894
3.19002,15.97617
